question,label
"I am trying to find out if these wireless headphones are charging? I don't know what color these lights are supposed to be, but it's plugged in now. Could you tell me? Thanks.",color
What color is the couch?,color
Please tell me what color my shirt is?,color
"Could you tell me something about this shirt? Like maybe the colors since all the color ID's I have don't seem to work very well, and is there anything else I should know about it? Thanks. ",color
What color is my vest?,color
What color are these pants?,color
What color is it?,color
"What is this, and what color is it?",color
What color is this?,color
Could you tell me what color this shirt is please?,color
What color is this?,color
"Hi, can you please tell me what color that is?",color
What color is this rug?,color
What color is this product?,color
What is the color of this?,color
What?  What color is this?,color
What color is this?,color
Could you please tell me what color this shirt is? Thank you.,color
This tshirt color and logo.,color
What color is this dress?,color
What color is this? What color is this?,color
What color is this?,color
"What multicolors are there in the shirt, is there yellow?",color
What color is this?,color
What color is that please?,color
What type of deodorant is this and what's the color of the lid?,color
What color is that?,color
What color is this shirt?,color
Can you please tell me what color this is? Thank you.,color
What color is the material I just took a picture of? Thank you. ,color
I know this is a shoe can you tell what color it is please? thank you,color
What color is this shirt?,color
What color is this?,color
What color is it?,color
What color is this bedsheet?,color
What color is that shirt?,color
What color is my shirt?,color
What color shirt am I wearing?,color
Hi could you tell me what color this shirt is please?,color
what color is my shirt?,color
What color is my shirt?,color
What colors do you see?,color
What color is his pants?,color
What color is this candle?,color
What color of yarn is this?,color
Color is this book?,color
What color is this pepper?,color
What is the color?,color
What color is this mug?,color
How many purple-ish colored lines do you see?,color
What color is this dog?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
What color is this shirt?,color
What color socks are these?,color
What color are my curtains?,color
What color is the pillow?,color
What color are the curtains?,color
What color is the wall?,color
What color are these pants?,color
What color are these two t-shirts? ,color
What color is this shirt?,color
What color is this?,color
What color is this shirt?,color
What color is this blouse?,color
What color is this button?,color
What color is this shirt?,color
What color is this??,color
What color is my pants.,color
What color is this shirt?,color
What color is this shirt?,color
Can you tell me the color please,color
What color is this?,color
Can you please tell me what color my shirt is thank you.,color
What color pants are these?,color
What color is the bow?,color
What color is this item?,color
What color is this?,color
What color are these shoes?,color
What color is this?,color
What color is this shoe?,color
What color are these?,color
What color is this blanket?,color
Describe the color of curtains.,color
I'd like to settle a little score here. What color is this jacket?,color
What color do you see on this sneaker?,color
What color is this?,color
What color is this pen?,color
What color is this shirt?,color
What color is this?,color
What color is the wall?,color
What color is this? ,color
What's the color?,color
What color is this yarn?,color
What color is that please?,color
What color this shirt? ,color
What color is this pillow?,color
What color is this? ,color
Tell me what color is these chips?,color
what color is this shirt thanks.,color
Hi. Which colored shirt is this guy in the photo wearing?,color
What color are these?,color
"Hi could you give me an overall description of this jacket and the color please?  And what kind of clothes would it go with, would it go with a pair of jeans would this go with",color
What color is this?,color
Please tell me what color the hard drive is?,color
Which color does the folder have?,color
What color is this?,color
What color are the letters?,color
What color is this top? ,color
What color is this shirt?,color
What color is the door?,color
What is that color?,color
What color is this bag?,color
What color is this? ,color
what color is this?,color
What color is this container and is there a design and what type of design is it if there is?,color
What color is this shirt?,color
What color is this shirt?,color
Do these socks match in color?,color
What color is this keyboard?,color
Color is this shirt?,color
What color is this shirt?,color
What color is this yarn?,color
What color is this?,color
Could you tell me what color this sofa is?,color
What color is this?,color
"Good morning, Id like to know what color shirt this is? Thank you.",color
Please tell me what color this shirt is.,color
"Can you please tell me what this couch looks like, what color?  ",color
What colors are in the patter on this dress?,color
What color is this?,color
"What is the pattern of this woman's top, and what colors are in it?",color
What color is this?,color
What does this look like and what color is it?,color
What color is this shirt?,color
What color is this shirt?,color
What color is this?,color
what color is this?,color
What color is this sweater?,color
What color is this shirt?,color
Hello. Can you tell me the color of this shirt and what you think of how it matches with these shorts?,color
What color is this?,color
What color is my shirt?,color
What color is that please?,color
What color is it?,color
What color is this shirt?,color
What color is this?,color
What color is this shirt in front of me?,color
Could you please tell me what color this cup is?,color
What's the color of this dress?,color
What color is this shirt?,color
What kind of shoe do I have and what color is it? And what size is it?,color
WHAT COLOR ARE THIS?,color
Color is the sunset?,color
Where is this and what color is it and what time is it?,color
What color is this shirt?,color
if there's a phone in this picture can you tell what color it is?,color
What is color?,color
Color is this shirt?,color
What color is my shirt and is that a Ohio State symbol? ,color
what color are theses pants,color
What color and what picture is on my clothes?,color
What color are my pants?,color
What color is the chair?,color
What color is this t-shirt?,color
What color is this shirt?  Thank you.,color
What color skin is this?,color
What color is this?,color
What color is it?,color
What color is this? ,color
What color is this shirt?,color
What color are these pants?,color
What color and kind of dog is it?,color
What color are the beads in the charm on this necklace?,color
what color?,color
What color is this?,color
What color is keyboard?,color
What color is this shirt?,color
Color is this?,color
What color is my pants?,color
What color is this pen?,color
Color is this,color
What color is this shirt?,color
What color is this?,color
What color is the bow?,color
What color is this shirt?,color
What is the color?,color
What color is the shirt?,color
What color is this?,color
What color is this tie?,color
What is the color of this table?,color
What color is the dog?,color
"What color is this dress, please? Thank you.",color
What color is this?,color
What color is this?,color
What color is this shirt?,color
What color is my shirt?,color
What color is this shirt? Question mark.,color
What color is this purse?,color
What color is this cloth?,color
What color and pattern?,color
What color is this shirt?,color
What color is this?,color
What color are these pants?,color
What color is the shirt?,color
"Do these pair of shorts and this shirt match?  I know they are womens clothing.  If you don't know if they match, what colors are they?",color
What color on left?,color
What color is my shirt?,color
what color is this top ?,color
What color are these shorts?,color
Could you please tell me what color these beads are?,color
What color are the ropes from top to bottom?,color
What color is that please?,color
What color is that wall?,color
What color is this dress?,color
"What color are these two shirts, please? Thank you!",color
What kind of table is this and what color?,color
What color is this?,color
What color is that switch plate on the wall with the picture I just took?,color
What color is this?,color
What color is this shirt please? Thank you.,color
What color is this?,color
what color is that?,color
what is the style and color of this garment?,color
What color is this tie?,color
What color is this?,color
What color are my shoes?,color
What color earrings and sweater should I wear with this dress?,color
What color is this?,color
What color is this?,color
What color bottle is this?  ,color
What color? ,color
What color is this?,color
What color is this?,color
what color is my sweater?,color
What color is this?,color
What color is it?,color
What color is the man's tie?,color
"Hello. Could you please tell me, the two jacks that are going up and down, could you tell me what jacks are those? And also, could you please tell me what color is the top one and what color is the bottom one? Thank you.",color
"Hey, I need to know what color these shoe laces are. I'm particularly looking for a brown pair, or a dark pair, that will match the dark tennis shoes I have. Thanks.",color
What color is this fabric?,color
What color is this cat?,color
What color is this shirt?,color
WHICH COLOR HAS THE PURSE?,color
What is this Color?,color
what color is this?,color
what color is this,color
What color is my shirt?,color
What color are my pants?,color
Trying again please what are the color of these clothes? Thank you.,color
What color is the pants and the shirt and does it match? or do they match I should say?,color
What colors are the milk bottles?,color
What color are these jeans? Pink or gold?,color
What color is the cardigan and what color are the stripes on the cardigan?  And what sort of shirt should I wear under it to make it match?  Thank you.,color
What color is the shirt?,color
What color is this cat?,color
What colors are in this tie?,color
What color is this?,color
What color is this shirt and does it have any writing on the front side?,color
What color is this? ,color
What color is the sink?,color
What color is my shirt?,color
Can you tell me what color this skirt is please? Thank you.,color
What color is this wrapping paper?,color
Could you please tell me what color this shirt is? Is it the same as the first one? Thank you,color
"Hello, can you tell me what color these bananas are?",color
"Hi, still working on the same theme. Are you able to tell me the color of the shirt? Thanks.",color
What color are these pants?,color
what is color is this top,color
What color is this shirt?,color
What color is this material?,color
What color is my wall?,color
What is that color?,color
What color is this?,color
WHat color is this?,color
What color is this item and what colors go with it?,color
What color is the carpet.,color
What color is this shirt and what does it say?,color
What is the color of this shirt?,color
What color is this?,color
What color is this radio?,color
What color is this wire?,color
what color is this?,color
What color is the pepper?,color
What color is my eyeball?,color
What color is this blanket?,color
What color are these pants?,color
What color is this shirt?,color
What color?,color
What colors are in the flowers on this shirt?,color
What color is this small dog and what does it look like?,color
What color are these jeans?,color
What color trousers are these?,color
Please describe the colors in this chart?,color
What color is the ornament in this box?,color
What's the color of this case?,color
Can you tell me the color of the kitty cat's fur? ,color
Hi can you please tell me what color that is?,color
What color is the sky though?,color
What color and what is that?,color
What color is there on the bottom of this shoe?,color
What color is this?,color
"What color is this material that I have in front of me, that I just took a picture of? ",color
What color is this dinosaur?,color
What color is this?,color
"What color is the dog, and what type of magazine is this?",color
What color is this shirt?,color
What color is this?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
"What brand is this speaker? And what color is it, and what shape is it in, and where does it come from?",color
What color top is this?,color
Could you please tell me what color this shirt is and describe it.,color
"What is the color of this shirt, question mark?",color
What color is this item?,color
What color is this sweater?,color
What color is this yarn?,color
What is the color of the shirt?,color
Is my shirt dirty and what color is it?,color
>What color are my pants?,color
What color is my jeans?,color
What color is this highlighter?,color
What color is this?,color
What color is my shirt?,color
"Color.  Color.  Color.  Color.  It's not a striped bed sheet, I don't care that it has a design.  Color.  Color.  If you're not",color
What color shirt is this?,color
What color is this please? ,color
What color is the jacket?,color
what color is this shirt?,color
What color is my shirt?,color
What color is the rock?,color
What color is this shirt?,color
Please tell me what color this blouse is and as much detail as possible.,color
What color is this purse?,color
What color are these pants?,color
What color is this?,color
what is the item in the picture and what color is it?,color
What color are these pants?,color
What color is this?,color
Could you please tell me what color these beads are.,color
What color is this pillow?,color
What color is this?,color
What color is this shirt?,color
Describe the pattern on the shirt I'm wearing. Colors and everything.,color
What color is that please?,color
What color is that please?,color
What color is this?,color
What color is the shirt?,color
what color is this?,color
What color is this?,color
What color is this?,color
What color are these pants?,color
What color is this jumper?,color
What color is this polo shirt?,color
What color is this?,color
What color is this?,color
What color is the cat?,color
What color is this?,color
What colors is these beads please?,color
What color is this shirt?,color
Color is the handle on this bag?,color
What color is this shirt?,color
What color is this?,color
What color is this shoe?,color
What color is this?,color
What color is this?,color
What colour are the markings on this cat?,color
"Takes  little bit, but it will tell you what color that is. Oh, really? There's usually two.",color
What color is this radio?,color
"Could you tell me what color these trousers are, please.",color
Would like to know what color it is.,color
What color is this shirt?,color
What color are these?,color
what color is this shirt?,color
What color is it?,color
"I want to know. What is the color of the paint ? Is it green, blue or red?",color
What color is my arm band?,color
What color is this?,color
What color is this?,color
What's the color for the cc?,color
What color is this? ,color
What's that color?,color
"Hi, I'm trying to find out what color boots are? If you could help me, thank you so much.",color
What color is this?,color
What color is this hat?,color
What color is this?,color
What is this and what color is it and what time is it cause I was sleeping and I don't know what time it is,color
What color is this?,color
What color shirt is this that I have on?,color
What color is this?,color
What is the color of this shirt?,color
What color socks am I wearing?,color
What color is this shirt please?,color
What color is this?,color
What color is this shirt?,color
what color is the shirt,color
What color is it?,color
What color is this?,color
What color is this chair?,color
What color is this? Thank you.,color
What color is this shirt?,color
What color is this?,color
What color is this? ,color
What color are these slacks?,color
What color are my pants?,color
What are the colors on this shirt?,color
What color is the top?,color
What color is that blanket please?,color
What colors will go with this color of purple?,color
What color is this shirt and button?,color
what color is this?,color
What color is this?,color
What color shirt is this?,color
"Hi. Please could somebody tell me what color this t-shirt is? I may have sent this question already but, I'm a first time user so, sorry about that.",color
What color is this?,color
What color is my sweater?,color
What color is this?,color
What color is? Oh.,color
What color are these shorts?,color
What color is this?,color
What color is the carpet?,color
What color is this fabric?,color
What color is this?,color
What color is this coat?,color
What color was my shirt?,color
What color is this garment please,color
What color is my dog?,color
Hi this is a t-shirt what color is it? and what does it go with?,color
"Tell me the color of these trousers, please?",color
What color is this shirt?,color
What color is the shirt that I am wearing?,color
Can you tell me what color this is?,color
What color is this sweater?,color
What color is this?,color
What's the color of the tee shirt?,color
"Hi, uh, just interested in the color of this sweatshirt and what the logo is if you can see that in the photo. Thank you very much.",color
What color is this? ,color
What color is this top?,color
What color is this shirt?,color
What color is this shirt?,color
Find this garnet in its color.,color
What color is this jacket,color
What color is this? It is dark gray or light gray or medium gray?,color
What color strength is this?,color
" What is,what is color for this laptop?",color
What color?,color
What color is this?,color
What color is this shirt?,color
WHAT COLOR IS THIS SHIRT?,color
What color are my pants? ,color
What color is this?,color
Hey there. I'm not sure if my question's not coming through properly. I wasn't asking the color. I am looking for the temperature ranges going from left to right on the dial. That should be on the picture of a slowcooker. Thank you. ,color
What color is the hairbrush? ,color
"What color is this jacket, please? Thank you.",color
What is the color of that t-shirt? And greetings from Kuwait.,color
What color is this?,color
What color are these pants?,color
What color is this shirt?,color
What color is this please?,color
What color is this chair?,color
What color is this?,color
What color is this?,color
what color is this?,color
What color is this shirt?,color
What color is this pen?,color
What color is my shirt? ,color
What color is the ceiling fan?,color
What color is that please?,color
What color are these shoes?,color
What color is this cushion?,color
What color are these pants?,color
What color is this sheet? Thank you.,color
What the color?,color
What's the color?,color
What color is this?,color
"Hi, could you tell me what color these shoes are, please?",color
What color is this chair?,color
Are both cases the same color?,color
What color is this yarn?,color
What's the color for this keyboard?,color
What color is the shirt?,color
What color is this?,color
What color is this hair?,color
What color is this shirt?,color
What color is my shirt?,color
What color is this?,color
"Can you describe this bag for me? What color, and what pattern? Thank you.",color
What color is this bath mat.  I need to know now.,color
What color is this cloth?,color
What color is this can?,color
"What is the color of the top, please - the top that she's wearing?",color
Can you tell what size and color this is?,color
What color is my skin?,color
What color are these socks?,color
What color is this shirt?,color
What color is this shoe? What color?,color
What color is this?,color
What color is this shirt?,color
What color is this robe?,color
What color is this shirt and what is the pattern on it?,color
What color is this shirt?,color
What color is this shirt?,color
What color is this garment?,color
What color is this watch?,color
What color are these ropes from top to bottom?,color
"Hello, please, can you say me what color is my clothes? ",color
What color is this skirt please?  Thank you.,color
What color is this shirt?,color
What color is this shirt?,color
What color is the drink in my cup?,color
What's the color of this table cover?,color
What color is this carpet?,color
What color is the wall?,color
Color of the sunset.,color
What color is this tapestry?,color
"I know this is a keyboard, but what color is it?",color
What color is this pen?,color
What color is on the left?,color
What color?,color
What color is the shirt?,color
"What color, what color are these shoes?",color
"What color are these pants, dammit? What f'in color? Goddammit.",color
What color is this?,color
What color is it?,color
What color is this jumper?,color
Is my light on?  And what color is my light shade?,color
What color is that candy that I am holding in my hand?,color
"Yes, I was wondering what color flowers this futon cover had on them. I was trying to match my apartment's decor. Thank you so much.",color
What color is this shirt?,color
What object is this and what color is it?,color
What is the color of this?,color
What color is the table cloth?,color
What color is this?,color
What color is this shirt?,color
What color is this?,color
There are supposed to be two tops in this picture.  Are they the same color?,color
What's the color?,color
what color is it?,color
Can you tell me what color this shirt is?,color
What color is this shirt?,color
What color is this shirt? What patterns does it have?,color
Can you tell me the color of this table?,color
What color is this?,color
color is this stone,color
What is the color of this sweater?,color
"What are the different color of these stripes, please? Thank you.",color
What color is this?,color
What color is this piece of hemp?,color
What color is this fabric?,color
Can you tell me what color these pants are?,color
Could you help me with the color of the lip gloss please?,color
What color are these pants?,color
What color is this pair of pants?,color
What color is my shirt?,color
what color is this?,color
What color is the shirt?,color
What color and design is this pillow?,color
What color is this?,color
What color is this product?,color
What color is this shirt? Thank you.,color
What color are these pants?,color
What color is this onesie?,color
Please tell me what color is it?,color
"What colors the lid on the bottle, I don't see the lid.",color
What color is this? ,color
What color is this? ,color
"What color is this, please? ",color
"Hello, I'm trying to label these wires. Can you please tell me what color this one is? Thank you.",color
What color is this?,color
What color is my shirt?,color
What color is this?,color
Can you tell me what color of thread this is? It's not working.,color
Color is the bookshelf?,color
What color is this trash can?,color
"What color is that, please?",color
What color is this pin?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
What color are these shorts please?,color
What color is the bed color?,color
What color is this chair?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
"Is there any writing on this sheet of paper, and what color is it? ",color
What color is this,color
What color are the two colored lines on this device?  Try to be specific in terms or light or dark or grayish whenever you can.  Thank you.,color
What color are these shoes?,color
What color is this?,color
What color is the screen?,color
What color is this shirt?,color
Color marker is this?,color
What color is this?,color
What color is this suitcase? ,color
What color is this?,color
What color is the carpet?,color
which color?,color
What color is this?,color
What are the colors and designs of this skirt?,color
Could you please tell me what color this skirt is. Is it blue or black? Thank you.,color
what color is this?,color
What color is this?,color
What color?,color
What color are these trousers please?,color
what color is this dog?,color
What color is this?,color
What color is these jeans please?,color
What color is this railing?,color
what color is my shirt?,color
What color is this?,color
"Can you tell me what this fabric looks like, and what color?",color
What color is this?,color
What color is this?,color
What color is the bedspread?,color
What color is this product?,color
What kind of color and pattern this shirt has?,color
What is the color of this phone?,color
What color is the ceiling fan?,color
what color is this shirt?,color
What color is this wall?,color
what color is this?,color
What color is this comforter?,color
What color is this?,color
What color is the dog? ,color
What color is this can and what does the logo say?,color
What color is that?,color
What color is this cover? Thank you,color
What color is the shirt?,color
What color is this shirt?,color
What color is this shirt?,color
what is on that and what color is it whats your favorite baseball team,color
What color is this?,color
What is the color of this shirt?,color
Can you tell the color of the eye shadow please?,color
What color is this?,color
What kind of color and pattern of shirt this is?,color
"Okay, what color is this shirt?",color
"Yes U know it's a jacket but what color it is, thank you. I'm trying to label them.",color
What color is my hair.,color
What color is this?,color
What is the color of this?,color
What color is this?,color
What color are these balls?,color
What is the color of this T-Shirt?,color
What color is the shirt?,color
What kind of tile would go good with this color?,color
What color is this shoe?,color
What color is this?,color
What color is this remote control?,color
What color is this?,color
What color is the sweat shirt?,color
What color is this?,color
What color of this mouse is?,color
what colour is this t-shirt?,color
What color is this iPad case?,color
What color is that shirt?,color
What color is this?,color
What color is it?,color
What color?,color
What color is this shirt?,color
What color is this shoe?,color
What colors are on this skirt?,color
What color is this?,color
What color is this shirt?,color
What color is this blouse?,color
What color is this?,color
What's the color for this laptop?,color
"What color is this, please?",color
What colors are these hair clip and hair ties? Thank you.,color
What color is this pillow?,color
What color is this?,color
De que colores?,color
What color is this yarn please?,color
What color is this?,color
What color are my pants?,color
What color is the cat?,color
"What color is this, please? ",color
What color is this shirt?,color
What color is my shirt?,color
What color is this camisole?,color
What color is this?,color
What color are the beads?,color
What color are these pants?,color
What color is this yarn?,color
What color is this hair clip?,color
What color is this blouse? ,color
What color is that girl's shirt?,color
What color is my shirt?,color
What color is this hockey puck?,color
What color is this?,color
What color is this?,color
What color is my dog?,color
What color is this?,color
"What color is this shirt, and what does it say?",color
What color is this?,color
What color are these pants?,color
What color pants are these?,color
What is the color of the glass and the frame?,color
what color is this?,color
What color is this?,color
Do these colors match or clash?,color
What color is this yarn?,color
What color is this shirt?,color
What color is my finger touching?,color
What color is this dog?,color
What color is my - ?,color
What color bottle is this? ,color
What color are these slacks?,color
What color is this shirt?,color
What color are my pants?,color
what color is this tee shirt? thank you,color
"Please describe what you can see.  Plants or pictures or colors, anything like that.  Describe the surroundings.  Thank you.",color
Color is this shirt?,color
WHAT ARE ALL THIS COLOR ON THIS BEEDED NECKLACE,color
What color is the dog in this picture?,color
What color are my shorts?,color
What color is this? ,color
What is this and what color is it?,color
What color are the nails on this picture?,color
What color is this shirt?,color
Can you let me know what color is this please?,color
What color is this bathrobe?,color
What color is this?,color
What color is this shirt?,color
What color are these pants?,color
What color is it?,color
What color is this shoe and is there a design on it?,color
Could you please tell me the colors and the images of this towel if it's possible?,color
what color is this shirt,color
There are two shirts. What is the color of the shirt on the left compared to the one on the right?,color
What color is this sweatshirt?,color
"what color is that, please?",color
What color is this?,color
What color is this t-shirt? Does it also have a brand name?,color
What color is it?I don't know what just happened.,color
What color is this dress?,color
what color is my hair?,color
What color are these jeans?,color
What color hair is this?,color
What color is this?,color
What color is my shirt?,color
What color are these shorts?,color
what color is this shirt?,color
what colour is this?,color
What color is this hat and is there writing on it?,color
What is color?,color
What is the color of the pillow?,color
What color is this one?,color
What color is this shirt?,color
What color are these?,color
What color is this?,color
What color is this wrapping paper? ,color
What color is this dress?,color
What color socks are those? ,color
What color is this shirt?,color
Can you tell what color the cloth is?,color
What color is this sleeping bag?,color
What color is this?,color
What color is this fleece jacket?,color
What color is this yarn?,color
What color is this shirt?,color
"Hello, what color is this shirt, please? Thank you very much.",color
What color shoe am I wearing? ,color
What color are these pants?,color
What color is this shirt?,color
what color is this shirt?,color
What color is this product?,color
What color is this?,color
What color is this?,color
What color is this shirt I have on?,color
What color are my curtains?,color
What is this? And what color is it?,color
What color is this shirt?,color
What color is this?,color
What color is this shirt?,color
What color are these pants?,color
What color is my t-shirt please?,color
Could you please tell me what color these pants are? Thank you. ,color
What color are the pants I'm wearing? And do they appear that they would stain easily? ,color
What color is this sweater?,color
What color is this?,color
What color is that jacket?,color
What color is this?,color
what color are the pants?,color
What colors are present in this?,color
What color is this?,color
What color is the carpet?,color
What's the color?,color
What color is this blanket?,color
What color is my jacket?,color
What color are my pants?,color
What color are my jeans?,color
What color are the eyes on the necklace thing on the cat?,color
"What color is this dress, please? Thank you!",color
What color is this?,color
What color is this please?,color
what color is this bank,color
Can you tell me what color these beads are?,color
Okay just tell me if you could please what color it is? Is it light blue? Thank you,color
What is this item and what is the color?,color
What color is this?,color
What color is this blouse? ,color
What does this say and what color is it?,color
What color is this shoe?,color
What color is my sweater?,color
What color are these pants?,color
What color is it?,color
What color is my wall?,color
What color are my shoes?,color
Just need to know what color this shirt is. Thanks.,color
What color is this?,color
Is it plain in color? No logo?,color
What color are these rosary beads?,color
What color are my socks?,color
What color is this?,color
What color are these shorts?,color
What color is this please? The color.,color
What color shirts would this tie go with?,color
What color is this shirt that my hand was on and did it appear to have any stains?,color
What color is this?,color
What color is my case?,color
What color is this shirt?,color
What color is this cup?,color
What color is this candle?,color
What color is my jeans?,color
What color is this pillow?,color
What color is this stovetop?,color
What color is this?,color
What colors are the flowers on this dress?,color
What colors are in this material?,color
What color is my floor?,color
"Could you please tell me what brand this is, and what color it is?",color
What color is this shirt?,color
What color are those curtains.,color
"What are the different colors of these stripes please, thank you?",color
What color are the pants?,color
What color is my jacket?,color
What color are the stripes?,color
What color is this?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
Hello. Just wanted to know if the chinos and the top I am wearing atch? and what colors they are?,color
what color is the shirt ,color
What colors are in this picture?,color
What color is this image?,color
What color is this shirt?,color
What color are my shorts?,color
What color are these pants,color
What color is this door?,color
What color are these trousers?,color
What color is this shirt?,color
What color is this?,color
What color is this sweater please?,color
what color is the bottle?,color
What colors are in the skirt?,color
What color is the dog?,color
What color are my pants?,color
What is the color of this top?,color
What color is this shirt?,color
What color is this bag?,color
What color is this?,color
What color is these jeans?,color
What is this color?,color
What color has this mac please?,color
What color is this block?,color
What color is it?,color
What color is the shirt and how many buttons does it have?,color
What's the color of this cap?,color
what color is this?,color
What color is this pepper?,color
What color is the paint on this wall?,color
What color is my sock?,color
What color is this?,color
What color are my shoes?,color
What color is my vest?,color
What color is this top?,color
What color is this?,color
What color is this shirt?,color
What color is this?,color
What color is my shoe?,color
What are the colors in this purse?,color
What color is this?,color
What's the color?,color
What color are these pants?,color
What color is this lamp shade?,color
What color is this?,color
What color is this?,color
"Hi, what color is this cup? And does it say anything? Thank you.",color
What color is this top?,color
What colors are in this craft necklace?,color
record what color is this yarn please,color
Could you please tell me what color this tee shirt is? Thank you,color
What color hair is this?,color
What color are the pajamas that I have on?,color
What color is this please?,color
What color is this cat?,color
